Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
MNQ,23000.0,PutWall,#ffffff,#808080,left
MNQ,23200.0,G9,#ffffff,#808080,left
MNQ,23250.0,HVL 0DTE,#ffffff,#808080,left
MNQ,23300.0,HVL,#ffffff,#808080,left
MNQ,23325.0,G10,#ffffff,#808080,left
MNQ,23347.75,1D Min,#ffffff,#808080,left
MNQ,23425.0,G3,#ffffff,#808080,left
MNQ,23450.0,G2,#ffffff,#808080,left
MNQ,23475.0,G4,#ffffff,#808080,left
MNQ,23500.0,CallWall,#ffffff,#808080,left
MNQ,23600.0,G1,#ffffff,#808080,left
MNQ,23625.0,PutWall 0DTE,#ffffff,#808080,left
MNQ,23700.0,G5,#ffffff,#808080,left
MNQ,23750.0,CallWall 0DTE,#ffffff,#808080,left
MNQ,23750.0,GammaWall 0DTE,#ffffff,#808080,left
MNQ,23791.75,1D Max,#ffffff,#808080,left
MNQ,23800.0,G7,#ffffff,#808080,left
MNQ,23900.0,G8,#ffffff,#808080,left
MNQ,24000.0,G6,#ffffff,#808080,left
GC,3300.0,PutWall,#ffffff,#808080,left
GC,3340.0,HVL,#ffffff,#808080,left
GC,3345.0,G9,#ffffff,#808080,left
GC,3350.0,G6,#ffffff,#808080,left
GC,3361.5,1D Min,#ffffff,#808080,left
GC,3375.0,G1,#ffffff,#808080,left
GC,3380.0,G3,#ffffff,#808080,left
GC,3385.0,PutWall 0DTE,#ffffff,#808080,left
GC,3385.0,HVL 0DTE,#ffffff,#808080,left
GC,3400.0,CallWall 0DTE,#ffffff,#808080,left
GC,3400.0,GammaWall 0DTE,#ffffff,#808080,left
GC,3405.0,G2,#ffffff,#808080,left
GC,3410.0,G4,#ffffff,#808080,left
GC,3415.0,G5,#ffffff,#808080,left
GC,3421.1,1D Max,#ffffff,#808080,left
GC,3425.0,G8,#ffffff,#808080,left
GC,3445.0,G10,#ffffff,#808080,left
GC,3450.0,G7,#ffffff,#808080,left
GC,3500.0,CallWall,#ffffff,#808080,left
CL,60.48,PutWall,#ffffff,#808080,left
CL,60.75,USO HVL 0DTE,#ffffff,#1395ba,left
CL,60.98,G9,#ffffff,#808080,left
CL,61.49,G6,#ffffff,#808080,left
CL,61.5,USO PutWall,#ffffff,#1395ba,left
CL,61.99,G8,#ffffff,#808080,left
CL,62.0,USO 1D Min,#ffffff,#1395ba,left
CL,62.03,1D Min,#ffffff,#808080,left
CL,62.24,G1,#ffffff,#808080,left
CL,62.49,PutWall 0DTE,#ffffff,#808080,left
CL,62.49,HVL 0DTE,#ffffff,#808080,left
CL,62.5,USO G3,#ffffff,#1395ba,left
CL,62.75,G5,#ffffff,#808080,left
CL,62.75,USO G4,#ffffff,#1395ba,left
CL,63.0,HVL,#ffffff,#808080,left
CL,63.25,CallWall,#ffffff,#808080,left
CL,63.25,USO HVL,#ffffff,#1395ba,left
