Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
ES,6300.0,PutWall,#ffffff,#808080,left
ES,6379.25,SPY PutWall,#ffffff,#1395ba,left
ES,6389.25,SPY G10,#ffffff,#1395ba,left
ES,6399.25,BL10,#ffffff,#808080,left
ES,6399.25,G7,#ffffff,#808080,left
ES,6399.25,SPY G8,#ffffff,#1395ba,left
ES,6415.5,SPX G8,#ffffff,#1395ba,left
ES,6419.25,SPX 1D Min,#ffffff,#1395ba,left
ES,6419.25,SPY 1D Min,#ffffff,#1395ba,left
ES,6419.25,SPY G9,#ffffff,#1395ba,left
ES,6421.0,BL7,#ffffff,#808080,left
ES,6425.0,G10,#ffffff,#808080,left
ES,6429.5,HVL,#ffffff,#808080,left
ES,6429.5,SPY G1,#ffffff,#1395ba,left
ES,6436.75,1D Min,#ffffff,#808080,left
ES,6440.5,BL2,#ffffff,#808080,left
ES,6440.5,SPX G5,#ffffff,#1395ba,left
ES,6449.5,G1,#ffffff,#808080,left
ES,6449.5,SPY G5,#ffffff,#1395ba,left
ES,6455.5,SPX PutWall,#ffffff,#1395ba,left
ES,6455.5,SPX PutWall 0DTE,#ffffff,#1395ba,left
ES,6459.5,SPX HVL,#ffffff,#1395ba,left
ES,6459.5,SPY G3,#ffffff,#1395ba,left
ES,6465.5,SPX HVL 0DTE,#ffffff,#1395ba,left
ES,6469.5,HVL 0DTE,#ffffff,#808080,left
ES,6469.5,PutWall 0DTE,#ffffff,#808080,left
ES,6469.5,SPX G3,#ffffff,#1395ba,left
ES,6469.5,SPY PutWall 0DTE,#ffffff,#1395ba,left
ES,6475.0,G3,#ffffff,#808080,left
ES,6475.0,SPX G2,#ffffff,#1395ba,left
ES,6479.5,SPY HVL,#ffffff,#1395ba,left
ES,6479.5,SPY HVL 0DTE,#ffffff,#1395ba,left
ES,6485.75,SPX CallWall 0DTE,#ffffff,#1395ba,left
ES,6485.75,SPX GammaWall 0DTE,#ffffff,#1395ba,left
ES,6489.75,BL8,#ffffff,#808080,left
ES,6489.75,CallWall 0DTE,#ffffff,#808080,left
ES,6489.75,GammaWall 0DTE,#ffffff,#808080,left
ES,6489.75,SPX G1,#ffffff,#1395ba,left
ES,6489.75,SPY G4,#ffffff,#1395ba,left
ES,6495.75,SPX G4,#ffffff,#1395ba,left
ES,6499.5,BL5,#ffffff,#808080,left
ES,6499.5,CallWall,#ffffff,#808080,left
ES,6499.5,SPY CallWall 0DTE,#ffffff,#1395ba,left
ES,6499.5,SPY GammaWall 0DTE,#ffffff,#1395ba,left
ES,6509.75,G4,#ffffff,#808080,left
ES,6509.75,SPY G2,#ffffff,#1395ba,left
ES,6513.0,SPX 1D Exp Move Max,#ffffff,#1395ba,left
ES,6513.0,SPY 1D Exp Move Max,#ffffff,#1395ba,left
ES,6515.75,BL3,#ffffff,#808080,left
ES,6515.75,SPX CallWall,#ffffff,#1395ba,left
ES,6519.75,G5,#ffffff,#808080,left
ES,6519.75,SPX G6,#ffffff,#1395ba,left
ES,6519.75,SPY G7,#ffffff,#1395ba,left
ES,6525.0,G2,#ffffff,#808080,left
ES,6525.0,SPX G10,#ffffff,#1395ba,left
ES,6527.0,BL1,#ffffff,#808080,left
ES,6529.75,1D Max,#ffffff,#808080,left
ES,6529.75,SPY CallWall,#ffffff,#1395ba,left
ES,6540.0,SPX G7,#ffffff,#1395ba,left
ES,6540.0,SPY G6,#ffffff,#1395ba,left
ES,6548.25,BL6,#ffffff,#808080,left
ES,6550.0,G6,#ffffff,#808080,left
ES,6555.75,SPX G9,#ffffff,#1395ba,left
ES,6570.0,G9,#ffffff,#808080,left
ES,6575.0,G8,#ffffff,#808080,left
ES,6615.5,BL4,#ffffff,#808080,left
ES,6656.75,BL9,#ffffff,#808080,left
MES,6300.0,PutWall,#ffffff,#808080,left
MES,6379.25,SPY PutWall,#ffffff,#1395ba,left
MES,6389.25,SPY G10,#ffffff,#1395ba,left
MES,6399.25,BL10,#ffffff,#808080,left
MES,6399.25,G7,#ffffff,#808080,left
MES,6399.25,SPY G8,#ffffff,#1395ba,left
MES,6415.5,SPX G8,#ffffff,#1395ba,left
MES,6419.25,SPX 1D Min,#ffffff,#1395ba,left
MES,6419.25,SPY 1D Min,#ffffff,#1395ba,left
MES,6419.25,SPY G9,#ffffff,#1395ba,left
MES,6421.0,BL7,#ffffff,#808080,left
MES,6425.0,G10,#ffffff,#808080,left
MES,6429.5,HVL,#ffffff,#808080,left
MES,6429.5,SPY G1,#ffffff,#1395ba,left
MES,6436.75,1D Min,#ffffff,#808080,left
MES,6440.5,BL2,#ffffff,#808080,left
MES,6440.5,SPX G5,#ffffff,#1395ba,left
MES,6449.5,G1,#ffffff,#808080,left
MES,6449.5,SPY G5,#ffffff,#1395ba,left
MES,6455.5,SPX PutWall,#ffffff,#1395ba,left
MES,6455.5,SPX PutWall 0DTE,#ffffff,#1395ba,left
MES,6459.5,SPX HVL,#ffffff,#1395ba,left
MES,6459.5,SPY G3,#ffffff,#1395ba,left
MES,6465.5,SPX HVL 0DTE,#ffffff,#1395ba,left
MES,6469.5,HVL 0DTE,#ffffff,#808080,left
MES,6469.5,PutWall 0DTE,#ffffff,#808080,left
